09/05/20,2,19,21,27,36,54,8
09/02/20,10,13,17,39,52,58,23
08/29/20,8,22,23,26,39,58,34
08/26/20,13,28,38,41,42,51,22
08/22/20,6,25,33,36,55,57,20
08/19/20,1,3,9,33,35,52,46
08/15/20,2,6,10,17,23,44,7
08/12/20,11,16,21,22,34,43,7
08/08/20,6,17,31,49,52,53,39
08/05/20,7,9,20,29,36,56,58
08/01/20,1,13,27,30,49,58,42
07/29/20,12,17,21,29,48,56,53
07/25/20,5,9,11,30,41,57,29
07/22/20,6,15,51,54,55,59,39
07/18/20,3,10,12,25,36,47,46
07/15/20,2,7,18,28,33,56,15
07/13/20,3,5,9,11,29,47,52
07/08/20,25,27,42,45,56,58,37
07/04/20,8,26,28,48,50,57,46
07/01/20,19,28,38,48,52,53,56
06/27/20,14,19,31,43,53,58,25
06/24/20,5,7,12,14,19,27,25
06/20/20,1,10,25,29,53,58,27
06/17/20,10,16,21,30,31,56,18
06/13/20,19,26,30,37,40,41,7
06/10/20,23,46,50,52,56,59,37
06/06/20,10,17,22,37,39,49,25
06/03/20,24,27,46,54,55,56,17
05/30/20,10,17,34,35,38,45,36
05/27/20,4,22,27,36,49,55,29
05/23/20,10,17,20,26,33,53,43
05/20/20,13,18,23,46,47,54,8
05/16/20,6,8,13,30,36,58,27
05/13/20,1,33,41,42,43,56,49
05/09/20,21,29,32,37,38,55,43
05/06/20,2,4,17,44,46,58,3
05/02/20,1,22,24,27,37,51,30
04/29/20,6,8,19,32,33,44,49
04/25/20,15,27,29,49,50,56,26
04/22/20,12,18,25,28,32,51,17
04/18/20,1,19,29,36,45,56,59
04/15/20,20,33,34,39,40,53,2
04/11/20,6,11,14,33,44,52,21
04/08/20,4,19,31,34,39,51,47
04/04/20,33,42,46,48,50,55,54
04/01/20,6,10,35,44,49,53,52
03/29/20,11,12,32,41,43,59,20
03/25/20,3,12,29,38,51,59,5
03/21/20,6,15,18,34,42,58,25
03/18/20,1,14,15,33,38,49,37
03/14/20,8,9,16,46,53,54,15
03/11/20,5,23,26,34,49,58,50
03/07/20,7,11,18,39,42,43,36
03/04/20,19,34,37,39,54,59,6
02/29/20,3,4,20,28,31,49,21
02/26/20,4,9,13,15,53,57,24
02/22/20,2,8,9,48,57,59,33
02/19/20,6,18,22,25,54,57,15
02/15/20,2,7,38,41,45,59,32
02/12/20,5,24,28,42,44,57,15
02/08/20,10,29,32,33,34,36,5
02/05/20,6,15,32,33,42,49,36
02/01/20,10,16,36,38,42,55,32
01/29/20,9,15,17,37,52,53,27
01/25/20,5,21,23,29,36,44,25
01/22/20,1,15,36,41,44,50,57
01/18/20,7,11,17,25,41,54,42
01/15/20,3,4,22,26,37,38,33
01/11/20,8,10,17,18,30,46,45
01/08/20,7,26,37,47,48,49,17
01/04/20,6,10,16,30,33,55,5
01/01/20,13,14,28,50,51,56,46
12/28/19,13,14,23,31,35,41,46
12/25/19,7,10,31,32,34,42,16
12/21/19,24,28,39,42,48,52,30
12/18/19,14,21,24,37,45,46,29
12/14/19,14,21,36,38,42,56,39
12/11/19,19,24,25,29,36,38,59
12/07/19,1,14,19,20,29,38,39
12/04/19,3,4,10,16,27,44,39
11/30/19,14,30,39,51,52,53,37
11/27/19,18,31,32,40,43,53,22
11/23/19,1,8,10,24,32,36,54
11/20/19,3,4,5,26,36,48,58
11/16/19,31,34,35,47,48,56,1
11/13/19,4,19,20,28,56,58,39
11/09/19,4,9,16,32,42,44,3
11/06/19,4,5,12,43,44,59,21
11/02/19,23,31,38,46,48,49,52
10/30/19,24,29,39,47,52,53,26
10/26/19,1,12,19,31,41,47,6
10/23/19,7,10,12,40,49,58,24
10/19/19,6,15,21,37,55,59,20
10/16/19,2,7,9,11,40,54,35
10/12/19,13,15,27,30,46,51,59
